City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Lamu,-2.2717,40.902,80.82,83,100,14.76,overcast clouds
346,Kirakira,-10.4544,161.9205,78.96,82,96,2.44,overcast clouds
347,Otradnoye,59.7775,30.8181,31.95,100,82,3.02,broken clouds
348,Nehe,48.4833,124.8333,11.08,95,100,4.9,light snow
349,Iralaya,15.0,-83.2333,83.8,66,8,13.85,clear sky
350,Xining,36.6167,101.7667,38.59,51,1,2.1,clear sky
351,Mao,39.8885,4.2658,55.96,94,20,8.05,few clouds
352,Mirnyy,62.5353,113.9611,-4.77,83,100,4.0,overcast clouds
353,Kuusamo,65.9667,29.1833,26.64,100,100,3.44,fog
354,Big Bend,-26.8167,31.9333,78.89,73,0,3.44,clear sky
355,Pangody,65.85,74.4859,2.44,98,94,6.93,overcast clouds
356,Savannah Bight,16.45,-85.85,80.2,70,12,9.44,few clouds
357,Coralville,41.6764,-91.5805,53.1,50,0,6.91,clear sky
358,Neiafu,-18.65,-173.9833,79.48,89,40,6.91,scattered clouds
359,Sergeyevka,53.88,67.4158,10.78,95,100,9.13,light snow
360,Oyama,36.3,139.8,64.58,59,100,2.86,light rain
361,Beidao,34.5686,105.8933,57.72,43,94,3.98,overcast clouds
362,Flin Flon,54.7682,-101.865,15.64,53,40,10.36,scattered clouds
363,Ussel,45.55,2.3167,36.07,100,100,3.51,overcast clouds
364,Megion,61.0296,76.1136,1.42,99,100,4.45,overcast clouds
365,Seoul,37.5683,126.9778,47.8,96,40,2.3,mist
366,Kourou,5.1552,-52.6478,75.25,89,100,9.33,moderate rain
367,Nampula,-15.1165,39.2666,71.55,94,100,9.22,thunderstorm with rain
368,Guararapes,-21.2608,-50.6428,81.43,64,93,1.14,overcast clouds
369,Seversk,56.6006,84.8864,2.35,96,8,6.53,clear sky
370,Chon Daen,16.1895,100.8596,88.2,42,84,4.85,light rain
371,Koupela,12.1794,-0.3517,93.99,12,96,6.04,overcast clouds
